courseCode,studyPeriod,academicYear,teacherID,assignedHours,courseInstance,reportedHours
1204,1.0,2013-2014,19620522-0023,240.0,I-1,227.0
1204,1.0,2013-2014,19790708-0041,100.0,I-1,115.0
1204,1.0,2013-2014,19930221-0139,140.0,I-1,157.0
1082,3.0,2013-2014,19690408-0009,280.0,I-2,281.0
1082,3.0,2013-2014,19750220-0037,100.0,I-2,115.0
1082,3.0,2013-2014,19921201-0094,100.0,I-2,112.0
1190,4.0,2013-2014,19570826-0012,240.0,I-3,253.0
1190,4.0,2013-2014,19790702-0038,140.0,I-3,146.0
1009,3.0,2013-2014,19690513-0015,240.0,I-4,224.0
1009,3.0,2013-2014,19750705-0033,140.0,I-4,135.0
1264,4.0,2013-2014,19610623-0005,260.0,I-5,248.0
1264,4.0,2013-2014,19780424-0057,140.0,I-5,140.0
1264,4.0,2013-2014,19920206-0072,100.0,I-5,100.0
1161,2.0,2013-2014,19640220-0029,240.0,I-6,228.0
1161,2.0,2013-2014,19790618-0048,120.0,I-6,128.0
1161,2.0,2013-2014,19910927-0128,140.0,I-6,157.0
1076,4.0,2013-2014,19630126-0001,240.0,I-7,221.0
1076,4.0,2013-2014,19790702-0038,140.0,I-7,157.0
1076,4.0,2013-2014,19910214-0084,120.0,I-7,101.0
1055,3.0,2013-2014,19620831-0024,240.0,I-8,235.0
1055,3.0,2013-2014,19760108-0050,100.0,I-8,89.0
1055,3.0,2013-2014,19931231-0099,100.0,I-8,107.0
1048,3.0,2013-2014,19570826-0012,260.0,I-9,246.0
1048,3.0,2013-2014,19760524-0046,120.0,I-9,116.0
1007,4.0,2013-2014,19600814-0002,240.0,I-10,252.0
1007,4.0,2013-2014,19780424-0057,100.0,I-10,84.0
1007,4.0,2013-2014,19911116-0069,140.0,I-10,157.0
1124,1.0,2014-2015,19620522-0023,260.0,I-11,241.0
1124,1.0,2014-2015,19750220-0037,140.0,I-11,140.0
1124,1.0,2014-2015,19930709-0100,140.0,I-11,141.0
1019,1.0,2014-2015,19640220-0029,280.0,I-12,265.0
1019,1.0,2014-2015,19790708-0041,100.0,I-12,109.0
1193,1.0,2014-2015,19570615-0011,240.0,I-13,255.0
1193,1.0,2014-2015,19771013-0040,140.0,I-13,146.0
1108,4.0,2014-2015,19620831-0024,260.0,I-14,272.0
1108,4.0,2014-2015,19750417-0051,120.0,I-14,136.0
1063,3.0,2014-2015,19590129-0004,260.0,I-15,251.0
1063,3.0,2014-2015,19750906-0032,120.0,I-15,113.0
1050,3.0,2014-2015,19620831-0024,240.0,I-16,254.0
1050,3.0,2014-2015,19780317-0052,100.0,I-16,103.0
1256,3.0,2014-2015,19610620-0006,240.0,I-17,225.0
1256,3.0,2014-2015,19790717-0045,140.0,I-17,123.0
1240,4.0,2014-2015,19590129-0004,260.0,I-18,276.0
1240,4.0,2014-2015,19781130-0054,120.0,I-18,117.0
1240,4.0,2014-2015,19920206-0072,140.0,I-18,136.0
1159,3.0,2014-2015,19561222-0030,240.0,I-19,239.0
1159,3.0,2014-2015,19780602-0035,100.0,I-19,108.0
1159,3.0,2014-2015,19900211-0140,120.0,I-19,104.0
1107,3.0,2014-2015,19640414-0013,280.0,I-20,265.0
1107,3.0,2014-2015,19781217-0053,140.0,I-20,143.0
1107,3.0,2014-2015,19900902-0114,140.0,I-20,123.0
1068,3.0,2014-2015,19620424-0026,280.0,I-21,268.0
1068,3.0,2014-2015,19780317-0052,100.0,I-21,110.0
1068,3.0,2014-2015,19931231-0099,140.0,I-21,121.0
1048,1.0,2014-2015,19601021-0018,260.0,I-22,255.0
1048,1.0,2014-2015,19750722-0060,140.0,I-22,152.0
1048,1.0,2014-2015,19920217-0098,120.0,I-22,125.0
1256,4.0,2015-2016,19680712-0028,260.0,I-23,240.0
1256,4.0,2015-2016,19760524-0046,100.0,I-23,120.0
1251,2.0,2015-2016,19610623-0005,280.0,I-24,299.0
1251,2.0,2015-2016,19750122-0056,100.0,I-24,109.0
1251,2.0,2015-2016,19921127-0120,140.0,I-24,144.0
1269,2.0,2015-2016,19560812-0016,240.0,I-25,260.0
1269,2.0,2015-2016,19761020-0044,120.0,I-25,122.0
1269,2.0,2015-2016,19920122-0065,100.0,I-25,84.0
1200,1.0,2015-2016,19680712-0028,280.0,I-26,297.0
1200,1.0,2015-2016,19781130-0054,140.0,I-26,132.0
1290,4.0,2015-2016,19610620-0006,280.0,I-27,297.0
1290,4.0,2015-2016,19750906-0032,120.0,I-27,140.0
1197,3.0,2015-2016,19620522-0023,260.0,I-28,265.0
1197,3.0,2015-2016,19781130-0054,100.0,I-28,119.0
1197,3.0,2015-2016,19921002-0129,140.0,I-28,124.0
1147,3.0,2015-2016,19560812-0016,260.0,I-29,245.0
1147,3.0,2015-2016,19751018-0039,100.0,I-29,109.0
1147,3.0,2015-2016,19901029-0071,120.0,I-29,106.0
1123,3.0,2015-2016,19600814-0002,280.0,I-30,287.0
1123,3.0,2015-2016,19790426-0049,140.0,I-30,147.0
1052,3.0,2015-2016,19560705-0025,260.0,I-31,250.0
1052,3.0,2015-2016,19790702-0038,120.0,I-31,108.0
1052,3.0,2015-2016,19900701-0113,140.0,I-31,156.0
1186,3.0,2016-2017,19610918-0027,280.0,I-32,298.0
1186,3.0,2016-2017,19761024-0034,100.0,I-32,96.0
1102,4.0,2016-2017,19660630-0020,240.0,I-33,227.0
1102,4.0,2016-2017,19781217-0053,120.0,I-33,119.0
1227,1.0,2016-2017,19660630-0020,260.0,I-34,254.0
