index,courseCode,studyPeriod,academicYear,teacherId,assignedHours,courseInstance,Course code_y,reportedHours
0,1204,1.0,2013-2014,19620522-0023,240.0,I-1,I-1,227.0
1,1204,1.0,2013-2014,19790708-0041,100.0,I-1,I-1,115.0
2,1204,1.0,2013-2014,19930221-0139,140.0,I-1,I-1,157.0
3,1082,3.0,2013-2014,19690408-0009,280.0,I-2,I-2,281.0
4,1082,3.0,2013-2014,19750220-0037,100.0,I-2,I-2,115.0
5,1082,3.0,2013-2014,19921201-0094,100.0,I-2,I-2,112.0
6,1190,4.0,2013-2014,19570826-0012,240.0,I-3,I-3,253.0
7,1190,4.0,2013-2014,19790702-0038,140.0,I-3,I-3,146.0
8,1009,3.0,2013-2014,19690513-0015,240.0,I-4,I-4,224.0
9,1009,3.0,2013-2014,19750705-0033,140.0,I-4,I-4,135.0
10,1264,4.0,2013-2014,19610623-0005,260.0,I-5,I-5,248.0
11,1264,4.0,2013-2014,19780424-0057,140.0,I-5,I-5,140.0
12,1264,4.0,2013-2014,19920206-0072,100.0,I-5,I-5,100.0
13,1161,2.0,2013-2014,19640220-0029,240.0,I-6,I-6,228.0
14,1161,2.0,2013-2014,19790618-0048,120.0,I-6,I-6,128.0
15,1161,2.0,2013-2014,19910927-0128,140.0,I-6,I-6,157.0
16,1076,4.0,2013-2014,19630126-0001,240.0,I-7,I-7,221.0
17,1076,4.0,2013-2014,19790702-0038,140.0,I-7,I-7,157.0
18,1076,4.0,2013-2014,19910214-0084,120.0,I-7,I-7,101.0
19,1055,3.0,2013-2014,19620831-0024,240.0,I-8,I-8,235.0
20,1055,3.0,2013-2014,19760108-0050,100.0,I-8,I-8,89.0
21,1055,3.0,2013-2014,19931231-0099,100.0,I-8,I-8,107.0
22,1048,3.0,2013-2014,19570826-0012,260.0,I-9,I-9,246.0
23,1048,3.0,2013-2014,19760524-0046,120.0,I-9,I-9,116.0
24,1007,4.0,2013-2014,19600814-0002,240.0,I-10,I-10,252.0
25,1007,4.0,2013-2014,19780424-0057,100.0,I-10,I-10,84.0
26,1007,4.0,2013-2014,19911116-0069,140.0,I-10,I-10,157.0
27,1124,1.0,2014-2015,19620522-0023,260.0,I-11,I-11,241.0
28,1124,1.0,2014-2015,19750220-0037,140.0,I-11,I-11,140.0
29,1124,1.0,2014-2015,19930709-0100,140.0,I-11,I-11,141.0
30,1019,1.0,2014-2015,19640220-0029,280.0,I-12,I-12,265.0
31,1019,1.0,2014-2015,19790708-0041,100.0,I-12,I-12,109.0
32,1193,1.0,2014-2015,19570615-0011,240.0,I-13,I-13,255.0
33,1193,1.0,2014-2015,19771013-0040,140.0,I-13,I-13,146.0
34,1108,4.0,2014-2015,19620831-0024,260.0,I-14,I-14,272.0
35,1108,4.0,2014-2015,19750417-0051,120.0,I-14,I-14,136.0
36,1063,3.0,2014-2015,19590129-0004,260.0,I-15,I-15,251.0
37,1063,3.0,2014-2015,19750906-0032,120.0,I-15,I-15,113.0
38,1050,3.0,2014-2015,19620831-0024,240.0,I-16,I-16,254.0
39,1050,3.0,2014-2015,19780317-0052,100.0,I-16,I-16,103.0
40,1256,3.0,2014-2015,19610620-0006,240.0,I-17,I-17,225.0
41,1256,3.0,2014-2015,19790717-0045,140.0,I-17,I-17,123.0
42,1240,4.0,2014-2015,19590129-0004,260.0,I-18,I-18,276.0
43,1240,4.0,2014-2015,19781130-0054,120.0,I-18,I-18,117.0
44,1240,4.0,2014-2015,19920206-0072,140.0,I-18,I-18,136.0
45,1159,3.0,2014-2015,19561222-0030,240.0,I-19,I-19,239.0
46,1159,3.0,2014-2015,19780602-0035,100.0,I-19,I-19,108.0
47,1159,3.0,2014-2015,19900211-0140,120.0,I-19,I-19,104.0
48,1107,3.0,2014-2015,19640414-0013,280.0,I-20,I-20,265.0
49,1107,3.0,2014-2015,19781217-0053,140.0,I-20,I-20,143.0
50,1107,3.0,2014-2015,19900902-0114,140.0,I-20,I-20,123.0
51,1068,3.0,2014-2015,19620424-0026,280.0,I-21,I-21,268.0
52,1068,3.0,2014-2015,19780317-0052,100.0,I-21,I-21,110.0
53,1068,3.0,2014-2015,19931231-0099,140.0,I-21,I-21,121.0
54,1048,1.0,2014-2015,19601021-0018,260.0,I-22,I-22,255.0
55,1048,1.0,2014-2015,19750722-0060,140.0,I-22,I-22,152.0
56,1048,1.0,2014-2015,19920217-0098,120.0,I-22,I-22,125.0
57,1256,4.0,2015-2016,19680712-0028,260.0,I-23,I-23,240.0
58,1256,4.0,2015-2016,19760524-0046,100.0,I-23,I-23,120.0
59,1251,2.0,2015-2016,19610623-0005,280.0,I-24,I-24,299.0
60,1251,2.0,2015-2016,19750122-0056,100.0,I-24,I-24,109.0
61,1251,2.0,2015-2016,19921127-0120,140.0,I-24,I-24,144.0
62,1269,2.0,2015-2016,19560812-0016,240.0,I-25,I-25,260.0
63,1269,2.0,2015-2016,19761020-0044,120.0,I-25,I-25,122.0
64,1269,2.0,2015-2016,19920122-0065,100.0,I-25,I-25,84.0
65,1200,1.0,2015-2016,19680712-0028,280.0,I-26,I-26,297.0
66,1200,1.0,2015-2016,19781130-0054,140.0,I-26,I-26,132.0
67,1290,4.0,2015-2016,19610620-0006,280.0,I-27,I-27,297.0
68,1290,4.0,2015-2016,19750906-0032,120.0,I-27,I-27,140.0
69,1197,3.0,2015-2016,19620522-0023,260.0,I-28,I-28,265.0
70,1197,3.0,2015-2016,19781130-0054,100.0,I-28,I-28,119.0
71,1197,3.0,2015-2016,19921002-0129,140.0,I-28,I-28,124.0
72,1147,3.0,2015-2016,19560812-0016,260.0,I-29,I-29,245.0
73,1147,3.0,2015-2016,19751018-0039,100.0,I-29,I-29,109.0
74,1147,3.0,2015-2016,19901029-0071,120.0,I-29,I-29,106.0
75,1123,3.0,2015-2016,19600814-0002,280.0,I-30,I-30,287.0
76,1123,3.0,2015-2016,19790426-0049,140.0,I-30,I-30,147.0
77,1052,3.0,2015-2016,19560705-0025,260.0,I-31,I-31,250.0
78,1052,3.0,2015-2016,19790702-0038,120.0,I-31,I-31,108.0
79,1052,3.0,2015-2016,19900701-0113,140.0,I-31,I-31,156.0
80,1186,3.0,2016-2017,19610918-0027,280.0,I-32,I-32,298.0
81,1186,3.0,2016-2017,19761024-0034,100.0,I-32,I-32,96.0
82,1102,4.0,2016-2017,19660630-0020,240.0,I-33,I-33,227.0
83,1102,4.0,2016-2017,19781217-0053,120.0,I-33,I-33,119.0
84,1227,1.0,2016-2017,19660630-0020,260.0,I-34,I-34,254.0
85,1227,1.0,2016-2017,19750331-0036,120.0,I-34,I-34,115.0
86,1089,2.0,2016-2017,19690408-0009,280.0,I-35,I-35,271.0
87,1089,2.0,2016-2017,19770713-0042,100.0,I-35,I-35,100.0
88,1084,4.0,2016-2017,19601021-0018,260.0,I-36,I-36,261.0
89,1084,4.0,2016-2017,19790618-0048,100.0,I-36,I-36,114.0
90,1021,1.0,2016-2017,19680712-0028,260.0,I-37,I-37,272.0
91,1021,1.0,2016-2017,19790618-0048,100.0,I-37,I-37,84.0
92,1252,4.0,2016-2017,19610623-0005,280.0,I-38,I-38,273.0
93,1252,4.0,2016-2017,19781125-0031,100.0,I-38,I-38,118.0
94,1172,3.0,2016-2017,19600529-0021,260.0,I-39,I-39,258.0
95,1172,3.0,2016-2017,19761024-0034,120.0,I-39,I-39,136.0
96,1172,3.0,2016-2017,19921123-0108,100.0,I-39,I-39,102.0
97,1158,3.0,2016-2017,19680712-0028,260.0,I-40,I-40,242.0
98,1158,3.0,2016-2017,19750417-0051,120.0,I-40,I-40,133.0
99,1091,4.0,2016-2017,19590129-0004,260.0,I-41,I-41,277.0
100,1091,4.0,2016-2017,19750122-0056,140.0,I-41,I-41,138.0
101,1091,4.0,2016-2017,19920826-0088,100.0,I-41,I-41,116.0
102,1045,1.0,2016-2017,19600529-0021,260.0,I-42,I-42,272.0
103,1045,1.0,2016-2017,19781217-0053,120.0,I-42,I-42,114.0
104,1272,3.0,2017-2018,19611219-0014,260.0,I-43,I-43,241.0
105,1272,3.0,2017-2018,19750705-0033,140.0,I-43,I-43,153.0
106,1272,3.0,2017-2018,19930512-0117,120.0,I-43,I-43,119.0
107,1248,3.0,2017-2018,19611219-0014,280.0,I-44,I-44,267.0
108,1248,3.0,2017-2018,19780815-0047,140.0,I-44,I-44,139.0
109,1232,3.0,2017-2018,19640414-0013,240.0,I-45,I-45,224.0
110,1232,3.0,2017-2018,19750331-0036,100.0,I-45,I-45,93.0
111,1232,3.0,2017-2018,19910403-0131,100.0,I-45,I-45,104.0
112,1006,1.0,2017-2018,19650303-0019,260.0,I-46,I-46,280.0
113,1006,1.0,2017-2018,19750331-0036,120.0,I-46,I-46,103.0
114,1241,3.0,2017-2018,19690513-0015,280.0,I-47,I-47,278.0
115,1241,3.0,2017-2018,19780815-0047,140.0,I-47,I-47,121.0
116,1215,2.0,2017-2018,19600814-0002,280.0,I-48,I-48,284.0
117,1215,2.0,2017-2018,19751018-0039,120.0,I-48,I-48,120.0
118,1090,2.0,2017-2018,19560612-0010,280.0,I-49,I-49,291.0
119,1090,2.0,2017-2018,19770224-0058,100.0,I-49,I-49,87.0
120,1090,2.0,2017-2018,19930616-0127,140.0,I-49,I-49,149.0
121,1085,1.0,2017-2018,19560612-0010,260.0,I-50,I-50,250.0
122,1085,1.0,2017-2018,19750102-0059,140.0,I-50,I-50,133.0
123,1082,3.0,2017-2018,19560705-0025,260.0,I-51,I-51,240.0
124,1082,3.0,2017-2018,19761009-0055,120.0,I-51,I-51,121.0
125,1033,1.0,2017-2018,19610918-0027,260.0,I-52,I-52,259.0
126,1033,1.0,2017-2018,19790426-0049,100.0,I-52,I-52,87.0
127,1033,1.0,2017-2018,19910101-0133,140.0,I-52,I-52,137.0
128,1144,3.0,2018-2019,19680712-0028,260.0,I-53,I-53,278.0
129,1144,3.0,2018-2019,19790702-0038,140.0,I-53,I-53,141.0
130,1144,3.0,2018-2019,19911116-0069,120.0,I-53,I-53,131.0
131,1250,1.0,2018-2019,19690513-0015,240.0,I-54,I-54,221.0
132,1250,1.0,2018-2019,19760524-0046,140.0,I-54,I-54,124.0
133,1250,1.0,2018-2019,19931118-0062,140.0,I-54,I-54,129.0
134,1243,2.0,2018-2019,19680712-0028,260.0,I-55,I-55,273.0
135,1243,2.0,2018-2019,19750705-0033,120.0,I-55,I-55,132.0
136,1147,2.0,2018-2019,19570826-0012,240.0,I-56,I-56,241.0
137,1147,2.0,2018-2019,19760524-0046,100.0,I-56,I-56,85.0
138,1147,2.0,2018-2019,19920505-0115,100.0,I-56,I-56,103.0
139,1133,1.0,2018-2019,19640220-0029,240.0,I-57,I-57,233.0
140,1133,1.0,2018-2019,19780602-0035,140.0,I-57,I-57,155.0
141,1239,3.0,2018-2019,19561222-0030,260.0,I-58,I-58,271.0
142,1239,3.0,2018-2019,19790426-0049,140.0,I-58,I-58,158.0
143,1220,1.0,2018-2019,19630126-0001,240.0,I-59,I-59,231.0
144,1220,1.0,2018-2019,19780815-0047,100.0,I-59,I-59,96.0
145,1220,1.0,2018-2019,19920505-0115,140.0,I-59,I-59,129.0
146,1178,3.0,2018-2019,19600529-0021,240.0,I-60,I-60,252.0
147,1178,3.0,2018-2019,19761020-0044,140.0,I-60,I-60,144.0
148,1168,2.0,2018-2019,19610918-0027,260.0,I-61,I-61,275.0
